,disease
8997,Papillary thyroid carcinoma
8998,Papilloma
8999,"Papilloma, Squamous Cell"
9000,Papillomatosis
9001,Papillon-Lefevre Disease
9002,Papillorenal syndrome
9003,Paracousis
9004,Paraganglioma
9005,Parakeratosis Variegata
9006,Paralysed
9007,"Paralysis, Spinal, Quadriplegic"
9008,Paralytic Ileus
9009,Paramyotonia Congenita (disorder)
9010,Paramyotonia Congenita Without Cold Paralysis
9011,Paraneoplastic Opsoclonus-Myoclonus Ataxia
9012,Paraneoplastic Syndromes
9013,Paranoia
9014,Paranoid Schizophrenia
9015,Paranoid delusion
9016,"Paraparesis, Spastic"
9017,Paraplegia
9018,"Paraplegia, Ataxic"
9019,"Paraplegia, Cerebral"
9020,"Paraplegia, Flaccid"
9021,"Paraplegia, Spinal"
9022,Parapsoriasis
9023,Parapsoriasis en Plaques
9024,Paraquat lung
9025,Parasagittal Meningioma
9026,Parastremmatic dwarfism
9027,Parathyroid Adenoma
9028,"Parathyroid Adenoma, Familial"
9029,Parathyroid Carcinoma
9030,Parathyroid Gland Adenocarcinoma
9031,Parathyroid Neoplasms
9032,Paratuberculosis
9033,Paresis
9034,Paresthesia
9035,"Paresthesia, Distal"
9036,Parietal Foramina With Cleidocranial Dysplasia
9037,Paris-Trousseau Thrombocytopenia
9038,Parkinson Disease
9039,"Parkinson Disease 6, Autosomal Recessive Early-Onset"
9040,"Parkinson Disease, Secondary Vascular"
9041,Parkinsonian Disorders
9042,"Parkinsonism, Experimental"
9043,"Parkinsonism, Juvenile"
9044,"Parkinsonism-Dystonia, Infantile"
9045,Parotid oncocytoma
9046,Paroxysmal Nerve Pain
9047,Paroxysmal Nonkinesigenic Dyskinesia 1
9048,Paroxysmal atrial fibrillation
9049,Paroxysmal choreoathetosis
9050,Paroxysmal familial ventricular fibrillation
9051,Paroxysmal kinesigenic choreoathetosis
9052,Paroxysmal nocturnal hemoglobinuria
9053,Paroxysmal nonkinesigenic dyskinesia
9054,Partial Fetal Alcohol Syndrome
9055,Partial Monosomy
9056,Partial Trisomy
9057,Partial adenosine deaminase deficiency
9058,Partial agenesis of corpus callosum
9059,Partial atrioventricular canal
9060,Partial chromosome Y deletion
9061,Partial lipodystrophy
9062,Passive Cutaneous Anaphylaxis
9063,Passive Tremor
9064,Pasteurellaceae Infections
9065,Patau Syndrome
9066,"Patella aplasia, coxa vara, tarsal synostosis"
9067,Patent Ductus Arteriosus Familial
9068,Patent ductus arteriosus
9069,Paternal uniparental disomy of chromosome 6
9070,Pathologic Neovascularization
9071,Pathological accumulation of air in tissues
9072,Patterned dystrophy of retinal pigment epithelium
9073,Pectus (in some patients)
9074,Pediatric Ependymoma
9075,Pediatric Glioma
9076,Pediatric Obesity
9077,Pediatric Osteosarcoma
9078,"Peeling skin syndrome, acral type"
9079,Pelger-Huet Anomaly
9080,Peliosis Hepatis
9081,Pelizaeus-Merzbacher Disease
9082,"Pelizaeus-Merzbacher Disease, Atypical"
9083,"Pelizaeus-Merzbacher Disease, Transitional"
9084,"Pelizaeus-Merzbacher-like disease, autosomal recessive, 2"
9085,Pelvic Inflammatory Disease
9086,Pelvic Organ Prolapse
9087,Pelviscapular dysplasia
9088,"Pemphigoid, Benign Mucous Membrane"
9089,Pemphigus
9090,Pemphigus Foliaceus
9091,Pemphigus Vulgaris
9092,Pena Shokeir syndrome Type 2
9093,Pena-Shokeir syndrome type I
9094,Pendred's syndrome
9095,Pendular Nystagmus
9096,Penile Diseases
9097,Penile Neoplasms
9098,Penis Carcinoma
9099,Pentalogy of Cantrell
9100,Pentosuria
9101,Penttinen-Aula syndrome
9102,Peptic Esophagitis
9103,Peptic Ulcer
9104,Peptic Ulcer Hemorrhage
9105,Percussion Myotonia
9106,Peri-Implantitis
9107,Periapical Periodontitis
9108,Pericardial constriction with growth failure
9109,Pericardial effusion
9110,Pericarditis
9111,Pericementitis
9112,Perinatal Subarachnoid Hemorrhage
9113,Perinatal death
9114,Perineurioma
9115,Periodic Alternating Nystagmus
9116,Periodic paralysis with later-onset distal motor neuropathy
9117,Periodic paralysis with transient compartment-like syndrome
9118,Periodic syndrome
9119,Periodontal Diseases
9120,Periodontitis
9121,"Periodontitis, Acute Nonsuppurative"
9122,"Periodontitis, Aggressive, 1"
9123,Periodontosis
9124,Periorbital Headache
9125,Peripheral Arterial Diseases
9126,Peripheral Autonomic Nervous System Diseases
9127,"Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease"
9128,Peripheral Nerve Injury
9129,Peripheral Nerve Sheath Neoplasm
9130,Peripheral Nervous System Diseases
9131,Peripheral T-Cell Lymphoma
9132,Peripheral Vascular Disease
9133,Peripheral Vascular Diseases
9134,Peripheral demyelinating neuropathy
9135,Peripheral dysostosis
9136,Peripheral neuropathy with sensorineural hearing impairment syndrome
9137,Peripheral resistance to thyroid hormone
9138,Perisylvian syndrome
9139,Peritoneal Dialysis Failure
9140,Peritoneal Fibrosis
9141,Peritoneal Neoplasms
9142,Peritoneal Sclerosis
9143,Peritonitis
9144,Perivascular Epithelioid Cell Neoplasms
9145,"Periventricular Heterotopia, X-Linked"
9146,Periventricular Nodular Heterotopia
9147,Periventricular gray matter heterotopia
9148,Perlman Syndrome
9149,Permanent Nystagmus
9150,Perniola Krajewska Carnevale syndrome
9151,Peroxisomal ACYL-COA oxidase deficiency
9152,Peroxisomal Disorders
9153,"Peroxisomal Dysfunction, General"
9154,"Peroxisomal Dysfunction, Multiple"
9155,"Peroxisomal Dysfunction, Single"
9156,"Peroxisome Biogenesis Disorder, Complementation Group D"
9157,Peroxisome Proliferation
9158,Peroxisome biogenesis disorders
9159,Perry Syndrome
9160,Persian Gulf Syndrome
9161,Persistent Fetal Circulation Syndrome
9162,Persistent Hyperplastic Primary Vitreous
9163,"Persistent Hyperplastic Primary Vitreous, Autosomal Recessive"
9164,Persistent Mullerian duct syndrome
9165,Persistent Ostium Primum
9166,Persistent Polyclonal B-Cell Lymphocytosis
9167,Persistent Tremor
9168,Persistent atrial fibrillation
9169,Persistent cloaca
9170,Personality Disorders
9171,Pervasive Development Disorder
9172,Petit mal status
9173,Petrous Sinus Thrombophlebitis
9174,Petrous Sinus Thrombosis
9175,Petty Laxova Wiedemann syndrome
9176,Peutz-Jeghers Syndrome
9177,Peyronie Disease
9178,Pfaundler-Hurler Syndrome
9179,Pfeiffer Syndrome
9180,Pfeiffer type acrocephalosyndactyly
9181,Phacomatosis pigmentokeratotica
9182,Phagocyte Bactericidal Dysfunction
9183,Phakomatosis cesioflammea
9184,Phakomatosis cesiomarmorata
9185,Pharyngeal Neoplasms
9186,Phencyclidine Abuse
9187,Phencyclidine-Related Disorders
9188,Phenylketonuria II
9189,"Phenylketonuria, Maternal"
9190,Phenylketonurias
9191,Pheochromocytoma
9192,"Pheochromocytoma, Extra-Adrenal"
9193,Phlegmon
9194,Phobic anxiety disorder
9195,"Phosphatidylinositol 4,5-Bisphosphate 5-Phosphatase Deficiency"
9196,Phosphoenolpyruvate carboxykinase 2 deficiency
9197,Phosphoenolpyruvate carboxykinase deficiency
9198,Phosphoglycerate Dehydrogenase Deficiency
9199,Phosphoglycerate Kinase 1 Deficiency
9200,Phosphohydroxylysinuria
9201,Phosphoribosylpyrophosphate Synthetase Superactivity
9202,Phosphoserine Aminotransferase Deficiency
9203,Photophobia
9204,Photosensitive Trichothiodystrophy
9205,Phyllodes Tumor
9206,Physiological Sexual Disorders
9207,Pick Disease of the Brain
9208,Piebaldism
9209,Pierre Robin Syndrome
9210,Pierre Robin syndrome with fetal chondrodysplasia
9211,Pierson syndrome
9212,Pigmentation
9213,Pigmentation Disorders
9214,Pigmented Basal Cell Carcinoma
9215,Pigmented Dermatofibrosarcoma Protuberans (Bednar Tumor)
9216,"Pigmented Nodular Adrenocortical Disease, Primary, 2"
9217,Pigmented Paravenous Chorioretinal Atrophy
9218,Pigmented hairy epidermal nevus
9219,Pili torti developmental delay neurological abnormalities
9220,Pili torti-deafness syndrome
9221,Pill Rolling Tremor
9222,Pilocytic Astrocytoma
9223,Pilomatrixoma
9224,Pilomyxoid astrocytoma
9225,Pineal Gland Cancer
9226,Pinprick Sensation Diminished
9227,Pitt-Hopkins-Like Syndrome 1
9228,Pitt-Rogers-Danks Syndrome
9229,Pituitary Adenoma
9230,Pituitary Apoplexy
9231,Pituitary Diseases
9232,Pituitary Dwarfism Type 3
9233,"Pituitary Hormone Deficiency, Combined, 1"
9234,"Pituitary Hormone Deficiency, Combined, 3"
9235,Pituitary Neoplasms
9236,Pituitary carcinoma
9237,Pituitary dwarfism
9238,Pituitary hormone deficiency
9239,Pituitary stalk interruption syndrome
9240,Pituitary-dependent Cushing's disease
9241,Pityriasis Rubra Pilaris
9242,Placenta Cancer
9243,Placenta Disorders
9244,Placental Steroid Sulfatase Deficiency
9245,Plagiocephaly
9246,"Plagiocephaly, Nonsynostotic"
9247,"Plantar Lipomatosis, Unusual Facies, and Developmental Delay"
9248,"Plaque, Amyloid"
9249,"Plaque, Atherosclerotic"
9250,"Plasma Cell Granuloma, Pulmonary"
9251,Plasminogen Activator Inhibitor-1 Deficiency
9252,"Plasminogen Deficiency, Type I"
9253,Plasmodium Falciparum Malaria
9254,Plasmodium vivax Infection
9255,"Platelet Disorder, Familial, with Associated Myeloid Malignancy"
9256,Platelet Glycoprotein IV Deficiency
9257,Platelet Storage Pool Deficiency
9258,Platelet alpha-Granule Deficiency
9259,Platelet-Activating Factor Acetylhydrolase Deficiency
9260,"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type"
9261,Pleoconial Myopathies
9262,Pleocytosis
9263,Pleomorphic Lipoma
9264,Pleural Diseases
9265,Pleural Mesothelioma
9266,Pleural Neoplasms
9267,Pleural Rub
9268,Pleural effusion disorder
9269,Pleurisy
9270,Pleuropericarditis
9271,Pleuropulmonary blastoma
9272,Plexiform Neurofibroma
9273,Pneumococcal Infections
9274,Pneumoconiosis
9275,Pneumonia
9276,"Pneumonia, Interstitial"
9277,"Pneumonia, Viral"
9278,Pneumonitis
9279,Pneumothorax
9280,Poikiloderma of Kindler
9281,Poikiloderma with Neutropenia
9282,Pointed chin
9283,Poisoning by fluorouracil
9284,Polio and Post-Polio Syndrome
9285,Poliomyelitis
9286,"Poliomyelitis, Nonpoliovirus"
9287,"Poliomyelitis, Preparalytic"
9288,Polyangiitis
9289,Polyarteritis Nodosa
9290,Polyarthralgia
9291,Polyarthritis
9292,"Polyarthritis, Juvenile, Rheumatoid Factor Negative"
9293,"Polyarthritis, Juvenile, Rheumatoid Factor Positive"
9294,Polycystic Kidney - body part
9295,Polycystic Kidney Disease
9296,"Polycystic Kidney Disease, Potter Type I, with Microbrachycephaly, Hypertelorism, and Brachymelia"
9297,Polycystic Kidney Diseases
9298,"Polycystic Kidney, Autosomal Dominant"
9299,"Polycystic Kidney, Type 1 Autosomal Dominant Disease"
9300,Polycystic Ovarian Syndrome
9301,Polycystic Ovary Syndrome
9302,"Polycystic kidney disease, type 2"
9303,"Polycystic kidneys, severe infantile with tuberous sclerosis"
9304,Polycystic liver disease
9305,Polycythemia
9306,Polycythemia Vera
9307,Polydactyly
9308,Polydactyly preaxial type 1
9309,"Polydactyly, Postaxial, Type A1"
9310,"Polydactyly, preaxial 4"
9311,Polydipsia
9312,"Polyendocrinopathies, Autoimmune"
9313,"Polyglandular Deficiency Syndrome, Persian-Jewish Type"
9314,Polyglandular Type I Autoimmune Syndrome
9315,Polyglandular Type III Autoimmune Syndrome
9316,"Polyglucosan Body Disease, Adult Form"
9317,Polyglucosan body myopathy type 1
9318,Polyhydramnios
9319,"Polyhydramnios, Megalencephaly, And Symptomatic Epilepsy"
9320,Polymicrogyria
9321,Polymicrogyria With Optic Nerve Hypoplasia
9322,"Polymicrogyria, Bilateral Occipital"
9323,Polymorphous corneal dystrophy
9324,Polymyoclonus
9325,Polymyositis
9326,Polymyositis Ossificans
9327,"Polymyositis, Idiopathic"
9328,Polynesian Bronchiectasis
9329,Polyneuropathy
9330,"Polyneuropathy, Critical Illness"
9331,"Polyneuropathy, Familial"
9332,"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract"
9333,"Polyneuropathy, Motor"
9334,Polyomavirus Infections
9335,Polyostotic fibrous dysplasia
9336,Polyploidy
9337,"Polyposis Syndrome, Hereditary Mixed, 2"
9338,"Polyposis, Adenomatous Intestinal"
9339,Polysplenia Syndrome
9340,Polysyndactyly
9341,Polyuria
9342,Polyvalvular heart disease syndrome
9343,Pompe's disease adult onset
9344,Pontiac Fever
9345,Pontine Tumors
9346,Pontocerebellar Hypoplasia Type 1
9347,Pontocerebellar Hypoplasia Type 2
9348,Pontocerebellar Hypoplasia Type 2A
9349,Pontocerebellar Hypoplasia Type 2B
9350,Pontocerebellar Hypoplasia Type 2C
9351,Pontocerebellar Hypoplasia Type 6
9352,Popliteal pterygium syndrome
9353,Porcine Reproductive and Respiratory Syndrome Virus Infection
9354,Porencephaly
9355,"Porencephaly, Type 1, Autosomal Dominant"
9356,Porokeratosis
9357,Porokeratosis of Mibelli
9358,"Porokeratosis, Disseminated Superficial Actinic"
9359,"Porokeratosis, Linear"
9360,Porokeratotic eccrine ostial and dermal duct nevus
9361,Porphobilinogen synthase deficiency
9362,Porphyria Cutanea Tarda
9363,"Porphyria, Erythropoietic"
9364,"Porphyria, South African type"
9365,"Porphyrias, Hepatic"
9366,Porphyromonas Gingivalis
9367,Port-Wine Stain
9368,Port-wine stain with oculocutaneous melanosis
9369,Portal Hypertension
9370,Position Sense Disorders
9371,Post-Traumatic Hydrocephalus
9372,Post-Traumatic Osteoporosis
9373,Post-Traumatic Stress Disorder
9374,Post-traumatic Porencephaly
9375,Postaxial polydactyly type A
9376,Posterior Capsule Opacification
9377,Posterior Choroidal Artery Infarction
9378,Posterior Circulation Transient Ischemic Attack
9379,Posterior Fossa Hemorrhage
9380,Posterior Fossa Meningioma
9381,Posterior Ischemic Optic Neuropathy
9382,Posterior Leukoencephalopathy Syndrome
9383,Posterior pituitary disease
9384,Posterior polar cataract
9385,Posterior reversible encephalopathy syndrome
9386,Posterior subcapsular cataract
9387,Postherpetic neuralgia
9388,Postnatal microcephaly
9389,Postoperative Complications
9390,Postoperative Residual Curarization
9391,Postpartum Amenorrhea
9392,Posttransfusion purpura
9393,Potassium aggravated myotonia
9394,Potocki-Lupski syndrome
9395,Ppm-X Syndrome
9396,Prader-Willi Syndrome
9397,Prader-Willi-like syndrome
9398,Pre-Eclampsia
9399,Pre-Ictal Amnesia
9400,Pre-Ictal Memory Loss
9401,"Preaxial deficiency, postaxial polydactyly and hypospadias"
9402,Precancerous Conditions
9403,Precocious Puberty
9404,Precordial Catch Syndrome
9405,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
9406,Precursor B-cell lymphoblastic leukemia
9407,Precursor Cell Lymphoblastic Leukemia Lymphoma
9408,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
9409,Prediabetes
9410,Preeclampsia
9411,Preeclampsia Eclampsia 4
9412,Pregnancy Complications
9413,"Pregnancy Complications, Cardiovascular"
9414,Pregnancy associated hypertension
9415,Prekallikrein deficiency
9416,Prelingual Deafness
9417,Premature Birth
9418,Premature Menopause
9419,Premature Obstetric Labor
9420,Premature Ovarian Failure
9421,Premature Ovarian Failure 1
9422,Premature Ovarian Failure 2a
9423,Premature Ovarian Failure 2b
9424,Premature Ovarian Failure 4
9425,Premature Ovarian Failure 5
9426,Premature Ovarian Failure 6
9427,Premature aging syndrome
9428,Premature ventricular contractions
9429,Prenatal Exposure Delayed Effects
9430,Prescription Drug Abuse
9431,Presenile dementia
9432,Presentey Anomaly
9433,Preterm Labor
9434,Preterm premature rupture of membranes (disorder)
9435,Prickle1-Related Progressive Myoclonus Epilepsy with Ataxia
9436,Primary Aldosteronism
9437,Primary Biliary Cirrhosis
9438,Primary CD59 deficiency
9439,Primary Ciliary Dyskinesia
9440,Primary Cutaneous Anaplastic Large Cell Lymphoma
9441,Primary Erythermalgia
9442,Primary Hyperoxaluria
9443,Primary Hyperthyroidism
9444,Primary Hypothyroidism
9445,Primary Immunodeficiency Disease
9446,Primary Insomnia
9447,"Primary Lateral Sclerosis, Adult, 1"
9448,Primary Myelofibrosis
9449,Primary Peritonitis
9450,Primary Progressive Nonfluent Aphasia
9451,Primary Sclerosing Cholangitis
9452,Primary Supratentorial Neoplasms
9453,Primary biliary cirrhosis
9454,Primary central nervous system lymphoma
9455,Primary congenital glaucoma
9456,Primary familial brain calcification
9457,Primary hyperoxaluria type 2
9458,Primary hyperoxaluria type III
9459,"Primary hyperoxaluria, type I"
9460,Primary hypogonadism
9461,Primary hypomagnesemia (disorder)
9462,Primary immune deficiency disorder
9463,Primary immunodeficiency syndrome due to p14 deficiency
9464,Primary intestinal lymphangiectasia
9465,Primary lateral sclerosis juvenile
9466,Primary malignant neoplasm of brain
9467,Primary microcephaly
9468,Primary peritoneal carcinoma
9469,Primary pigmented nodular adrenocortical disease
9470,Primary pulmonary hypoplasia
9471,Primary sclerosing cholangitis
9472,Primrose syndrome
9473,Prion Diseases
9474,Profound Mental Retardation
9475,Profound global developmental delay
9476,Progeria
9477,"Progeroid Syndrome, Congenital, Petty Type"
9478,Progeroid facial appearance
9479,Progesterone Resistance
9480,"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 5"
9481,"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 1"
9482,"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 2"
9483,"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 3"
9484,"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 4"
9485,"Progressive Familial Heart Block, Type Ib"
9486,Progressive Muscular Atrophy
9487,Progressive Proximal Myelopathic Muscular Atrophy
9488,Progressive Supranuclear Palsy
9489,Progressive bulbar palsy
9490,Progressive cerebellar ataxia
9491,Progressive cone dystrophy (without rod involvement)
9492,"Progressive encephalopathy with edema, hypsarrhythmia, and optic atrophy-like syndrome"
9493,Progressive hearing loss stapes fixation
9494,Progressive intrahepatic cholestasis (disorder)
9495,Progressive microcephaly
9496,Progressive myoclonic epilepsy with dystonia
9497,Progressive polyneuropathy with bilateral striatal necrosis
9498,Progressive pseudorheumatoid dysplasia
9499,Progressive sensorineural hearing impairment
9500,Progressive spastic paraplegia
9501,Progressive spasticity
9502,Progressive supranuclear palsy
9503,"Prolactin Deficiency, Isolated"
9504,Prolactinoma
9505,Proliferative Diabetic Retinopathy
9506,Proliferative Glomerulonephritis
9507,Proliferative Vitreoretinal Disease
9508,Proliferative vitreoretinopathy
9509,Proline dehydrogenase deficiency
9510,Prolonged Electroretinal Response Suppression
9511,Prominent metopic ridge
9512,Prominent nasal root on profile
9513,Prominent/full/wide cheeks
9514,Proopiomelanocortin Deficiency
9515,Properdin deficiency disease
9516,Propionic acidemia
9517,Propionicaciduria
9518,Proprioceptive Disorders
9519,Proprotein Convertase 1 3 Deficiency
9520,"Prostaglandin-Endoperoxide Synthase 1 Deficiency, Platelet"
9521,"Prostate Cancer, Hereditary, 12"
9522,"Prostate Cancer, Hereditary, 13"
9523,"Prostate Cancer, Hereditary, 9"
9524,Prostate Disease
9525,Prostate Neoplasms
9526,"Prostate cancer, familial"
9527,Prostatic Adenoma
9528,"Prostatic Cancer, Castration-Resistant"
9529,Prostatic Diseases
9530,Prostatic Hyperplasia
9531,Prostatic Hypertrophy
9532,Prostatic Intraepithelial Neoplasias
9533,Prostatic Neoplasms
9534,"Prostatic Neoplasms, Castration-Resistant"
9535,Protanomaly
9536,Protein C Deficiency
9537,Protein Deficiency
9538,Protein S Deficiency
9539,Protein-Losing Enteropathies
9540,Proteinuria
9541,Proteus Syndrome
9542,Proteus-Like Syndrome (disorder)
9543,Protoplasmic astrocytoma
9544,"Protoporphyria, Erythropoietic, X-Linked Dominant"
9545,Proud Syndrome
9546,Proximal Myopathy with Focal Depletion of Mitochondria
9547,Prune Belly Syndrome
9548,Pruritus
9549,Psammomatous Meningioma
9550,Pseudo Pelger-Huet Anomaly
9551,Pseudo-Hurler Polydystrophy
9552,Pseudo-TORCH syndrome
9553,Pseudoachondroplasia
9554,Pseudoaphakia
9555,Pseudocholinesterase deficiency
9556,Pseudocoloboma
9557,Pseudodystonia
9558,Pseudofolliculitis barbae (disorder)
9559,Pseudohermaphroditism
9560,"Pseudohermaphroditism, Female, With Hypokalemia, Due To Glucocorticoid Resistance"
9561,Pseudohyperkalemia Cardiff
9562,"Pseudohyperkalemia, Familial, 2, due to Red Cell Leak"
9563,Pseudohypoaldosteronism
9564,"Pseudohypoaldosteronism, Type I"
9565,"Pseudohypoaldosteronism, Type I, Autosomal Dominant"
9566,"Pseudohypoaldosteronism, Type I, Autosomal Recessive"
9567,"Pseudohypoaldosteronism, Type II"
9568,"Pseudohypoaldosteronism, Type IIb"
9569,"Pseudohypoaldosteronism, Type IIc"
9570,Pseudohypoparathyroidism
9571,Pseudohypoparathyroidism Type 1B
9572,Pseudohypoparathyroidism Type 1C
9573,"Pseudohypoparathyroidism, Type Ia"
9574,Pseudomonas Infections
9575,Pseudomonas aeruginosa infection
9576,Pseudomyotonia (finding)
9577,Pseudopelade
9578,Pseudopseudohypoparathyroidism
9579,Pseudovaginal Perineoscrotal Hypospadias
9580,Pseudoxanthoma Elasticum
9581,"Pseudoxanthoma Elasticum, Incomplete"
9582,Pseudoxanthoma Elasticum-Like Disorder with Multiple Coagulation Factor Deficiency
9583,Psoriasis
9584,Psoriatic Arthritis
9585,Psychiatric Disorders
9586,Psychogenic Inversion of Circadian Rhythm
9587,Psychogenic coma
9588,Psychomotor Agitation
9589,Psychomotor Disorders
9590,Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency
9591,Psychophysiological Insomnia
9592,"Psychoses, Drug"
9593,"Psychoses, Substance-Induced"
9594,"Psychoses, Traumatic"
9595,Psychosexual Disorders
9596,"Psychosis, Brief Reactive"
9597,"Psychosis, Involutional"
9598,Psychotic Disorders
9599,Pterygium
9600,Pterygium colli (in some patients)
9601,"Pterygium, Antecubital"
9602,Ptosis
9603,Puerperal Disorders
9604,Pulmonary Alveolar Microlithiasis
9605,Pulmonary Alveolar Proteinosis
9606,Pulmonary Arterial Remodeling
9607,Pulmonary Arteriovenous Fistulas
9608,Pulmonary Cystic Fibrosis
9609,Pulmonary Edema
9610,Pulmonary Embolism
9611,Pulmonary Emphysema
9612,Pulmonary Eosinophilia
9613,Pulmonary Fibrosis
9614,Pulmonary Fibrosis - from Asbestos Exposure
9615,Pulmonary Hypertension
9616,"Pulmonary Hypertension, Primary, 1"
9617,"Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia"
9618,"Pulmonary Hypertension, Primary, Fenfluramine-Associated"
9619,Pulmonary Sarcoidosis
9620,Pulmonary Thromboembolisms
9621,Pulmonary Veno-Occlusive Disease (disorder)
9622,"Pulmonary alveolar proteinosis, congenital"
9623,Pulmonary arterial hypertension
9624,Pulmonary arterial hypertension associated with connective tissue disease
9625,Pulmonary arterial hypertension induced by drug
9626,Pulmonary arteriovenous malformation
9627,Pulmonary capillary hemangiomatosis
9628,Pulsatile Tinnitus
9629,Punctate keratosis
9630,"Pure Gonadal Dysgenesis, 46, XX"
9631,"Purine-Pyrimidine Metabolism, Inborn Errors"
9632,Purine-nucleoside phosphorylase deficiency
9633,Purpura Fulminans
9634,Purpura Hemorrhagica
9635,"Purpura, Nonthrombocytopenic"
9636,"Purpura, Thrombotic Thrombocytopenic"
9637,Pustular psoriasis
9638,Pustulosis of Palms and Soles
9639,Pycnodysostosis
9640,Pyelonephritis
9641,Pyelonephritis acute necrotizing
9642,Pyemia
9643,Pyle metaphyseal dysplasia
9644,Pyloric Atresia
9645,Pyoderma Gangrenosum
9646,"Pyogenic Arthritis, Pyoderma Gangrenosum and Acne"
9647,Pyogenic Sacroiliitis
9648,Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency
9649,Pyruvate Carboxylase Deficiency Disease
9650,Pyruvate Dehydrogenase Complex Deficiency Disease
9651,"Pyruvate Dehydrogenase Complex Deficiency Disease, Neonatal"
9652,Pyruvate Dehydrogenase E1 Alpha Deficiency
9653,Pyruvate Dehydrogenase E1-Beta Deficiency
9654,Pyruvate Dehydrogenase E2 Deficiency
9655,Pyruvate Dehydrogenase E3-Binding Protein Deficiency
9656,"Pyruvate Metabolism, Inborn Errors"
9657,Pyruvate dehydrogenase phosphatase deficiency
9658,Q Fever
9659,"QUESTION MARK EARS, ISOLATED"
9660,Quadriparesis
9661,Quadriplegia
9662,Qualitative abnormality of granulocyte
9663,Quebec platelet disorder
9664,RADIOHUMERAL FUSIONS WITH OTHER SKELETAL AND CRANIOFACIAL ANOMALIES
9665,RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA 1
9666,RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA 2
9667,RAHMAN SYNDROME
9668,RAINE SYNDROME
9669,RAPP-HODGKIN SYNDROME
9670,RAS-ASSOCIATED AUTOIMMUNE LEUKOPROLIFERATIVE DISORDER
9671,"REDUCING BODY MYOPATHY, X-LINKED 1A, SEVERE, WITH INFANTILE OR EARLY CHILDHOOD ONSET"
9672,"REDUCING BODY MYOPATHY, X-LINKED 1B, WITH LATE CHILDHOOD OR ADULT ONSET"
9673,RELA fusion-positive ependymoma
9674,REM Sleep Deprivation
9675,RENAL ADYSPLASIA
9676,"RENAL DYSPLASIA, CYSTIC, SUSCEPTIBILITY TO"
9677,RENAL HYPODYSPLASIA/APLASIA 2
9678,RENAL HYPODYSPLASIA/APLASIA 3
9679,"RENAL HYPOPLASIA, ISOLATED (disorder)"
9680,"RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL RECESSIVE"
9681,"RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA (disorder)"
9682,RENAL-HEPATIC-PANCREATIC DYSPLASIA
9683,RENAL-HEPATIC-PANCREATIC DYSPLASIA 1
9684,RENAL-HEPATIC-PANCREATIC DYSPLASIA 2
9685,RETINAL ARTERIAL MACROANEURYSM WITH SUPRAVALVULAR PULMONIC STENOSIS
9686,"RETINAL ARTERIES, TORTUOSITY OF"
9687,RETINAL CONE DYSTROPHY 4
9688,RETINAL DYSTROPHY AND IRIS COLOBOMA WITH OR WITHOUT CONGENITAL CATARACT
9689,RETINAL DYSTROPHY AND OBESITY
9690,RETINAL DYSTROPHY WITH INNER RETINAL DYSFUNCTION AND GANGLION CELL ABNORMALITIES
9691,RETINAL DYSTROPHY WITH OR WITHOUT EXTRAOCULAR ANOMALIES
9692,RETINAL DYSTROPHY WITH OR WITHOUT MACULAR STAPHYLOMA
9693,"RETINAL DYSTROPHY, IRIS COLOBOMA, AND COMEDOGENIC ACNE SYNDROME"
9694,"RETINAL DYSTROPHY, JUVENILE CATARACTS, AND SHORT STATURE SYNDROME"
9695,"RETINAL NONATTACHMENT, NONSYNDROMIC CONGENITAL"
9696,RETINITIS PIGMENTOSA 1
9697,RETINITIS PIGMENTOSA 12 (disorder)
9698,RETINITIS PIGMENTOSA 19
9699,RETINITIS PIGMENTOSA 2 (disorder)
9700,RETINITIS PIGMENTOSA 27
9701,RETINITIS PIGMENTOSA 28
9702,RETINITIS PIGMENTOSA 3
9703,RETINITIS PIGMENTOSA 30
9704,RETINITIS PIGMENTOSA 33 (disorder)
9705,RETINITIS PIGMENTOSA 35
9706,RETINITIS PIGMENTOSA 36
9707,RETINITIS PIGMENTOSA 37 (disorder)
