,gene,disease
82932,MIR432,Nonmedullary Thyroid Carcinoma
82933,MIR432,Familial Nonmedullary Thyroid Cancer
82934,MIR494,Carcinoid Tumor
82935,MIR494,Lung Neoplasms
82936,MIR494,"Carcinoid, Goblet Cell"
82937,MIR494,Papillary thyroid carcinoma
82938,MIR494,Malignant neoplasm of lung
82939,MIR494,Argentaffinoma
82940,MIR494,Nonmedullary Thyroid Carcinoma
82941,MIR494,Familial Nonmedullary Thyroid Cancer
82942,MIR495,"Neoplasms, Experimental"
82943,MIR495,Papillary thyroid carcinoma
82944,MIR495,Nonmedullary Thyroid Carcinoma
82945,MIR495,Familial Nonmedullary Thyroid Cancer
82946,MIR496,Papillary thyroid carcinoma
82947,MIR496,Nonmedullary Thyroid Carcinoma
82948,MIR496,Familial Nonmedullary Thyroid Cancer
82949,MIR193B,Hepatitis B
82950,MIR193B,"Hepatitis, Toxic"
82951,MIR193B,"Liver Cirrhosis, Alcoholic"
82952,MIR193B,Drug-Induced Liver Disease
82953,MIR193B,"Hepatitis, Drug-Induced"
82954,MIR193B,Drug-Induced Acute Liver Injury
82955,MIR193B,Chemical and Drug Induced Liver Injury
82956,MIR193B,Chemically-Induced Liver Toxicity
82957,MIR497,Adenoma
82958,MIR497,Bronchioloalveolar Adenocarcinoma
82959,MIR497,"Hepatitis, Toxic"
82960,MIR497,Schizophrenia
82961,MIR497,"Adenoma, Basal Cell"
82962,MIR497,Follicular adenoma
82963,MIR497,"Adenoma, Microcystic"
82964,MIR497,"Adenoma, Monomorphic"
82965,MIR497,Papillary adenoma
82966,MIR497,"Adenoma, Trabecular"
82967,MIR497,Drug-Induced Liver Disease
82968,MIR497,"Hepatitis, Drug-Induced"
82969,MIR497,Drug-Induced Acute Liver Injury
82970,MIR497,Chemical and Drug Induced Liver Injury
82971,MIR497,Chemically-Induced Liver Toxicity
82972,MIR181D,"Hepatoma, Morris"
82973,MIR181D,"Hepatoma, Novikoff"
82974,MIR181D,"Liver Neoplasms, Experimental"
82975,MIR181D,Neoplasm Metastasis
82976,MIR181D,Pancreatitis
82977,MIR181D,Experimental Hepatoma
82978,MIR519C,Neoplasm Metastasis
82979,MIR520B,Liver carcinoma
82980,MIR499A,"Hepatitis, Toxic"
82981,MIR499A,Drug-Induced Liver Disease
82982,MIR499A,"Hepatitis, Drug-Induced"
82983,MIR499A,Drug-Induced Acute Liver Injury
82984,MIR499A,Chemical and Drug Induced Liver Injury
82985,MIR499A,Chemically-Induced Liver Toxicity
82986,MIR501,Uterine Cervical Neoplasm
82987,MIR501,cervical cancer
82988,MIR503,Fatty Liver
82989,MIR503,"Hepatitis, Toxic"
82990,MIR503,Liver Cirrhosis
82991,MIR503,Myocardial Reperfusion Injury
82992,MIR503,Neoplasm Metastasis
82993,MIR503,"Fibrosis, Liver"
82994,MIR503,Drug-Induced Liver Disease
82995,MIR503,"Hepatitis, Drug-Induced"
82996,MIR503,Steatohepatitis
82997,MIR503,Drug-Induced Acute Liver Injury
82998,MIR503,Chemical and Drug Induced Liver Injury
82999,MIR503,Chemically-Induced Liver Toxicity
83000,MIR505,Alzheimer's Disease
83001,MIR505,Presenile dementia
83002,MIR505,"Hepatitis, Toxic"
83003,MIR505,"Hepatoma, Morris"
83004,MIR505,"Hepatoma, Novikoff"
83005,MIR505,"Liver Neoplasms, Experimental"
83006,MIR505,Experimental Hepatoma
83007,MIR505,Familial Alzheimer Disease (FAD)
83008,MIR505,"Alzheimer Disease, Late Onset"
83009,MIR505,Acute Confusional Senile Dementia
83010,MIR505,"Alzheimer's Disease, Focal Onset"
83011,MIR505,"Alzheimer Disease, Early Onset"
83012,MIR505,Drug-Induced Liver Disease
83013,MIR505,"Hepatitis, Drug-Induced"
83014,MIR505,Drug-Induced Acute Liver Injury
83015,MIR505,Chemical and Drug Induced Liver Injury
83016,MIR505,Chemically-Induced Liver Toxicity
83017,MIR506,Azoospermia
83018,MIR506,"Neoplasms, Experimental"
83019,NPS,"Alcoholic Intoxication, Chronic"
83020,NPS,Anxiety Disorders
83021,NPS,Cocaine Abuse
83022,NPS,Mental Depression
83023,NPS,Depressive disorder
83024,NPS,Schizophrenia
83025,NPS,Cocaine-Related Disorders
83026,NPS,"Anxiety States, Neurotic"
83027,NPS,Cocaine Dependence
83028,NPS,"Hyperkinesia, Generalized"
83029,NPS,Anxiety neurosis (finding)
83030,NPS,Hyperkinesia
83031,KLKP1,Prostatic Neoplasms
83032,KLKP1,Malignant neoplasm of prostate
83033,CTXN3,Schizophrenia
83034,SPG29,"SPASTIC PARAPLEGIA 29, AUTOSOMAL DOMINANT"
83035,ERVK-8,Schizophrenia
83036,WTRS,Pitt-Rogers-Danks Syndrome
83037,WTRS,Wittwer syndrome
83038,WTRS,Wolf-Hirschhorn Syndrome
83039,MIR483,"Diabetes Mellitus, Non-Insulin-Dependent"
83040,MIR483,"Hepatitis, Toxic"
83041,MIR483,"Hepatoma, Morris"
83042,MIR483,"Hepatoma, Novikoff"
83043,MIR483,"Liver Cirrhosis, Alcoholic"
83044,MIR483,"Liver Neoplasms, Experimental"
83045,MIR483,Precancerous Conditions
83046,MIR483,Experimental Hepatoma
83047,MIR483,"Condition, Preneoplastic"
83048,MIR483,Drug-Induced Liver Disease
83049,MIR483,"Hepatitis, Drug-Induced"
83050,MIR483,Drug-Induced Acute Liver Injury
83051,MIR483,Chemical and Drug Induced Liver Injury
83052,MIR483,Chemically-Induced Liver Toxicity
83053,MIR484,"Hepatitis, Toxic"
83054,MIR484,"Liver Cirrhosis, Alcoholic"
83055,MIR484,Malignant mesothelioma
83056,MIR484,Drug-Induced Liver Disease
83057,MIR484,"Hepatitis, Drug-Induced"
83058,MIR484,Drug-Induced Acute Liver Injury
83059,MIR484,Chemical and Drug Induced Liver Injury
83060,MIR484,Chemically-Induced Liver Toxicity
83061,MIR486-1,Autism Spectrum Disorders
83062,MIR487A,Papillary thyroid carcinoma
83063,MIR487A,Nonmedullary Thyroid Carcinoma
83064,MIR487A,Familial Nonmedullary Thyroid Cancer
83065,MIR455,Hepatitis B
83066,MIR455,"Hepatitis, Toxic"
83067,MIR455,Drug-Induced Liver Disease
83068,MIR455,"Hepatitis, Drug-Induced"
83069,MIR455,Drug-Induced Acute Liver Injury
83070,MIR455,Chemical and Drug Induced Liver Injury
83071,MIR455,Chemically-Induced Liver Toxicity
83072,ZNF674,"Mental Retardation, X-Linked"
83073,ZNF674,"Mental Retardation, X-Linked 92"
83074,ACOT1,Alloxan Diabetes
83075,ACOT1,"Diabetes Mellitus, Experimental"
83076,ACOT1,Hepatomegaly
83077,ACOT1,Liver neoplasms
83078,ACOT1,Streptozotocin Diabetes
83079,ACOT1,Malignant neoplasm of liver
83080,ACOT6,Schizophrenia
83081,GRXCR2,Nonsyndromic Deafness
83082,GRXCR2,"DEAFNESS, AUTOSOMAL RECESSIVE 101"
83083,LIPN,Congenital Nonbullous Ichthyosiform Erythroderma
83084,LIPN,"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 8"
83085,PHKG1P2,Dermatologic disorders
83086,GLYCAM1,Carcinoma
83087,GLYCAM1,Animal Mammary Neoplasms
83088,GLYCAM1,"Mammary Neoplasms, Experimental"
83089,GLYCAM1,Neoplasm Invasiveness
83090,GLYCAM1,Anaplastic carcinoma
83091,GLYCAM1,"Carcinoma, Spindle-Cell"
83092,GLYCAM1,Undifferentiated carcinoma
83093,GLYCAM1,Carcinomatosis
83094,GLYCAM1,"Mammary Carcinoma, Animal"
83095,SDHAF1,"Dementia, Vascular"
83096,SDHAF1,Dystonia
83097,SDHAF1,Binswanger Disease
83098,SDHAF1,"Vascular Dementia, Acute Onset"
83099,SDHAF1,Subcortical Vascular Dementia
83100,SDHAF1,Arteriosclerotic Dementia
83101,SDHAF1,Mitochondrial Diseases
83102,SDHAF1,Mitochondrial Complex II Deficiency
83103,BCRP3,Thrombosis
83104,BCRP3,Thrombus
83105,KANSL1-AS1,Malignant neoplasm of breast
83106,KANSL1-AS1,Breast Carcinoma
83107,KANSL1-AS1,"Mammary Neoplasms, Human"
83108,KANSL1-AS1,Mammary Neoplasms
83109,KANSL1-AS1,"Mammary Carcinoma, Human"
83110,FAM83G,"Keratoderma, Palmoplantar"
83111,MNX1-AS1,Malignant neoplasm of breast
83112,MNX1-AS1,Neoplasm Metastasis
83113,MNX1-AS1,Adenocarcinoma of lung (disorder)
83114,MNX1-AS1,Breast Carcinoma
83115,MNX1-AS1,"Mammary Neoplasms, Human"
83116,MNX1-AS1,Mammary Neoplasms
83117,MNX1-AS1,"Mammary Carcinoma, Human"
83118,PRSS56,Angle Closure Glaucoma
83119,PRSS56,Microphthalmos
83120,PRSS56,Myopia
83121,PRSS56,"MICROPHTHALMIA, ISOLATED 6"
83122,NORAD,Malignant neoplasm of breast
83123,NORAD,Breast Carcinoma
83124,NORAD,"Mammary Neoplasms, Human"
83125,NORAD,Mammary Neoplasms
83126,NORAD,"Mammary Carcinoma, Human"
83127,XAGE1B,Liver carcinoma
83128,XAGE1A,Adenoid Cystic Carcinoma
83129,NCF1,Alloxan Diabetes
83130,NCF1,Rheumatoid Arthritis
83131,NCF1,Berry Aneurysm
83132,NCF1,Neoplastic Cell Transformation
83133,NCF1,Intracranial Aneurysm
83134,NCF1,Diabetes Mellitus
83135,NCF1,"Diabetes Mellitus, Experimental"
83136,NCF1,Hypercholesterolemia
83137,NCF1,Hypertensive disease
83138,NCF1,"Hypothermia, natural"
83139,NCF1,"Kidney Failure, Chronic"
83140,NCF1,"Lupus Erythematosus, Systemic"
83141,NCF1,Streptozotocin Diabetes
83142,NCF1,Sicca Syndrome
83143,NCF1,"Aortic Aneurysm, Abdominal"
83144,NCF1,Libman-Sacks Disease
83145,NCF1,"Aneurysm, Middle Cerebral Artery"
83146,NCF1,"Aneurysm, Anterior Communicating Artery"
83147,NCF1,"Aneurysm, Posterior Cerebral Artery"
83148,NCF1,"Aneurysm, Anterior Cerebral Artery"
83149,NCF1,"Aneurysm, Basilar Artery"
83150,NCF1,"Aneurysm, Posterior Communicating Artery"
83151,NCF1,Brain Aneurysm
83152,NCF1,Giant Intracranial Aneurysm
83153,NCF1,"Mycotic Aneurysm, Intracranial"
83154,NCF1,Cerebral Aneurysm
83155,NCF1,Sjogren's Syndrome
83156,NCF1,"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type I"
83157,SFTPA1,Hamman-Rich syndrome
83158,SFTPA1,Idiopathic Pulmonary Fibrosis
83159,SFTPA1,Familial Idiopathic Pulmonary Fibrosis
83160,DUX4L5,Polycystic Ovary Syndrome
83161,DUX4L5,Sclerocystic Ovaries
83162,FAM72B,Liver carcinoma
83163,MIR539,"Hepatoma, Morris"
83164,MIR539,"Hepatoma, Novikoff"
83165,MIR539,"Liver Neoplasms, Experimental"
83166,MIR539,Experimental Hepatoma
83167,MIR539,Papillary thyroid carcinoma
83168,MIR539,Liver carcinoma
83169,MIR539,Nonmedullary Thyroid Carcinoma
83170,MIR539,Familial Nonmedullary Thyroid Cancer
83171,MIR376A2,Papillary thyroid carcinoma
83172,MIR376A2,Nonmedullary Thyroid Carcinoma
83173,MIR376A2,Familial Nonmedullary Thyroid Cancer
83174,MIR487B,Carcinoid Tumor
83175,MIR487B,"Diabetes Mellitus, Non-Insulin-Dependent"
83176,MIR487B,Lung Neoplasms
83177,MIR487B,"Neoplasms, Experimental"
83178,MIR487B,"Carcinoid, Goblet Cell"
83179,MIR487B,Papillary thyroid carcinoma
83180,MIR487B,Malignant neoplasm of lung
83181,MIR487B,Argentaffinoma
83182,MIR487B,Nonmedullary Thyroid Carcinoma
83183,MIR487B,Familial Nonmedullary Thyroid Cancer
83184,MIR542,Fatty Liver
83185,MIR542,Myocardial Reperfusion Injury
83186,MIR542,Steatohepatitis
83187,SNORA31,Herpes encephalitis
83188,SNORA54,"Alcoholic Intoxication, Chronic"
83189,SNORD50B,Malignant Neoplasms
83190,SNORD50B,Neoplasms
83191,SNORD50B,Benign Neoplasm
83192,SNORD50B,Carcinogenesis
83193,SNORA16B,Creutzfeldt-Jakob disease
83194,SNORA16B,New Variant Creutzfeldt-Jakob Disease
83195,SNORA16B,"Creutzfeldt-Jakob Disease, Familial"
83196,SNORD103C,Schizophrenia
83197,OPA5,OPTIC ATROPHY 5 (disorder)
83198,MIR33B,Malignant neoplasm of urinary bladder
83199,MIR33B,Bladder Neoplasm
83200,MIR33B,"Carcinoma, Transitional Cell"
83201,MIR33B,"Diabetes Mellitus, Non-Insulin-Dependent"
83202,MIR33B,"Hepatitis, Toxic"
83203,MIR33B,Disease Exacerbation
83204,MIR33B,Drug-Induced Liver Disease
83205,MIR33B,"Hepatitis, Drug-Induced"
83206,MIR33B,Drug-Induced Acute Liver Injury
83207,MIR33B,Chemical and Drug Induced Liver Injury
83208,MIR33B,Chemically-Induced Liver Toxicity
83209,MIR411,Cholestasis
83210,MIR411,Myocardial Reperfusion Injury
83211,MIR411,Papillary thyroid carcinoma
83212,MIR411,Nonmedullary Thyroid Carcinoma
83213,MIR411,Familial Nonmedullary Thyroid Cancer
83214,MIR421,"Hepatitis, Toxic"
83215,MIR421,"Liver Cirrhosis, Alcoholic"
83216,MIR421,Drug-Induced Liver Disease
83217,MIR421,"Hepatitis, Drug-Induced"
83218,MIR421,Drug-Induced Acute Liver Injury
83219,MIR421,Chemical and Drug Induced Liver Injury
83220,MIR421,Chemically-Induced Liver Toxicity
83221,MIR532,Malignant neoplasm of urinary bladder
83222,MIR532,Bladder Neoplasm
83223,MIR532,"Carcinoma, Transitional Cell"
83224,MIR532,"Diabetes Mellitus, Non-Insulin-Dependent"
83225,MIR532,Noise-induced hearing loss
83226,MIR532,"Hepatitis, Toxic"
83227,MIR532,"Liver Cirrhosis, Alcoholic"
83228,MIR532,Myocardial Reperfusion Injury
83229,MIR532,Neoplasm Invasiveness
83230,MIR532,Neoplasm Metastasis
83231,MIR532,Pancreatitis
83232,MIR532,Drug-Induced Liver Disease
83233,MIR532,"Hepatitis, Drug-Induced"
83234,MIR532,Drug-Induced Acute Liver Injury
83235,MIR532,Chemical and Drug Induced Liver Injury
83236,MIR532,Chemically-Induced Liver Toxicity
83237,MIR548B,Pancreatitis
83238,MIR564,Neoplasm Metastasis
83239,MIR574,"Hepatitis, Toxic"
83240,MIR574,Drug-Induced Liver Disease
83241,MIR574,"Hepatitis, Drug-Induced"
83242,MIR574,Drug-Induced Acute Liver Injury
83243,MIR574,Chemical and Drug Induced Liver Injury
83244,MIR574,Chemically-Induced Liver Toxicity
83245,MIR582,Myocardial Reperfusion Injury
83246,MIR589,"Hepatitis, Toxic"
83247,MIR589,"Liver Cirrhosis, Alcoholic"
83248,MIR589,Drug-Induced Liver Disease
83249,MIR589,"Hepatitis, Drug-Induced"
83250,MIR589,Drug-Induced Acute Liver Injury
83251,MIR589,Chemical and Drug Induced Liver Injury
83252,MIR589,Chemically-Induced Liver Toxicity
83253,MIR592,"Hepatitis, Toxic"
83254,MIR592,Drug-Induced Liver Disease
83255,MIR592,"Hepatitis, Drug-Induced"
83256,MIR592,Drug-Induced Acute Liver Injury
83257,MIR592,Chemical and Drug Induced Liver Injury
83258,MIR592,Chemically-Induced Liver Toxicity
83259,MIR595,Neoplasm Metastasis
83260,MIR598,"Hepatoma, Morris"
83261,MIR598,"Hepatoma, Novikoff"
83262,MIR598,"Liver Neoplasms, Experimental"
83263,MIR598,Myocardial Reperfusion Injury
83264,MIR598,Experimental Hepatoma
83265,MIR609,Pancreatitis
83266,MIR615,Liver carcinoma
83267,MIR625,"Hepatitis, Toxic"
83268,MIR625,Drug-Induced Liver Disease
83269,MIR625,"Hepatitis, Drug-Induced"
83270,MIR625,Drug-Induced Acute Liver Injury
83271,MIR625,Chemical and Drug Induced Liver Injury
83272,MIR625,Chemically-Induced Liver Toxicity
83273,MIR627,"Hepatitis, Toxic"
83274,MIR627,Drug-Induced Liver Disease
83275,MIR627,"Hepatitis, Drug-Induced"
83276,MIR627,Drug-Induced Acute Liver Injury
83277,MIR627,Chemical and Drug Induced Liver Injury
83278,MIR627,Chemically-Induced Liver Toxicity
83279,MIR628,"Diabetes Mellitus, Non-Insulin-Dependent"
83280,MIR629,"Hepatitis, Toxic"
83281,MIR629,"Liver Cirrhosis, Alcoholic"
83282,MIR629,Drug-Induced Liver Disease
83283,MIR629,"Hepatitis, Drug-Induced"
83284,MIR629,Drug-Induced Acute Liver Injury
83285,MIR629,Chemical and Drug Induced Liver Injury
83286,MIR629,Chemically-Induced Liver Toxicity
83287,MIR638,Non-Small Cell Lung Carcinoma
83288,MIR638,Neoplastic Cell Transformation
83289,MIR638,Neoplasm Metastasis
83290,MIR92B,Neoplastic Cell Transformation
83291,MIR92B,"Diabetes Mellitus, Non-Insulin-Dependent"
83292,MIR92B,"Hepatoma, Morris"
83293,MIR92B,"Hepatoma, Novikoff"
83294,MIR92B,"Liver Neoplasms, Experimental"
83295,MIR92B,Precancerous Conditions
83296,MIR92B,Experimental Hepatoma
83297,MIR92B,"Condition, Preneoplastic"
83298,MIR651,"Hepatitis, Toxic"
83299,MIR651,Drug-Induced Liver Disease
83300,MIR651,"Hepatitis, Drug-Induced"
83301,MIR651,Drug-Induced Acute Liver Injury
83302,MIR651,Chemical and Drug Induced Liver Injury
83303,MIR651,Chemically-Induced Liver Toxicity
83304,INS-IGF2,Liver carcinoma
83305,MIR652,"Hepatoma, Morris"
83306,MIR652,"Hepatoma, Novikoff"
83307,MIR652,"Liver Neoplasms, Experimental"
83308,MIR652,Precancerous Conditions
83309,MIR652,Experimental Hepatoma
83310,MIR652,"Condition, Preneoplastic"
83311,MIR654,Neoplastic Cell Transformation
83312,MIR654,"Neoplasms, Experimental"
83313,MIR654,Papillary thyroid carcinoma
83314,MIR654,Nonmedullary Thyroid Carcinoma
83315,MIR654,Familial Nonmedullary Thyroid Cancer
83316,MIR655,Papillary thyroid carcinoma
83317,MIR655,Nonmedullary Thyroid Carcinoma
83318,MIR655,Familial Nonmedullary Thyroid Cancer
83319,MIR656,Papillary thyroid carcinoma
83320,MIR656,Nonmedullary Thyroid Carcinoma
83321,MIR656,Familial Nonmedullary Thyroid Cancer
83322,MIR660,"Hepatitis, Toxic"
83323,MIR660,Drug-Induced Liver Disease
83324,MIR660,"Hepatitis, Drug-Induced"
83325,MIR660,Drug-Induced Acute Liver Injury
83326,MIR660,Chemical and Drug Induced Liver Injury
83327,MIR660,Chemically-Induced Liver Toxicity
83328,ATXN8,SPINOCEREBELLAR ATAXIA 8
83329,SPG32,"SPASTIC PARAPLEGIA 32, AUTOSOMAL RECESSIVE"
83330,SPG34,"SPASTIC PARAPLEGIA 34, X-LINKED (disorder)"
83331,SNORD118,"LEUKOENCEPHALOPATHY, BRAIN CALCIFICATIONS, AND CYSTS"
83332,BHLHA9,Polydactyly
83333,BHLHA9,"Syndactyly, Mesoaxial Synostotic, with Phalangeal Reduction"
83334,BHLHA9,"Camptosynpolydactyly, Complex"
83335,BHLHA9,Femur bifid with monodactylous ectrodactyly
83336,BHLHA9,Split-Hand-Foot Malformation With Sensorineural Hearing Loss
83337,BHLHA9,Split-Hand-Foot Malformation With Long Bone Deficiency 1
83338,MUC5B,Hamman-Rich syndrome
83339,MUC5B,Diffuse panbronchiolitis
83340,MUC5B,Idiopathic Pulmonary Fibrosis
83341,MUC5B,Hamman-Rich Disease
83342,MUC5B,Usual Interstitial Pneumonia
83343,MUC5B,Familial Idiopathic Pulmonary Fibrosis
83344,ZBTB8B,Colorectal Carcinoma
83345,NUTM2A,Endometrial Stromal Sarcoma
83346,FAM155A,Diverticulitis
83347,FAM155A,Diverticular Diseases
83348,FAM155A,Diverticular Bleeding
83349,MAGED4,Precancerous Conditions
83350,MAGED4,"Condition, Preneoplastic"
83351,D2HGDH,"Amino Acid Metabolism, Inborn Errors"
83352,D2HGDH,Tonic Seizures
83353,D2HGDH,Tonic - clonic seizures
83354,D2HGDH,"Amino Acid Metabolism, Inherited Disorders"
83355,D2HGDH,Combined D-2- and L-2-hydroxyglutaric aciduria
83356,D2HGDH,D-2-HYDROXYGLUTARIC ACIDURIA 1
83357,D2HGDH,Absence Seizures
83358,D2HGDH,Myoclonic Seizures
83359,GOLGA6L7,Dermatologic disorders
83360,PPIEL,Bipolar Disorder
83361,HULC,Liver neoplasms
83362,HULC,Neoplasm Invasiveness
83363,HULC,Malignant neoplasm of liver
83364,LINC00977,leukemia
83365,FAAHP1,Absence of pain sensation
83366,CCR2,"Hepatitis, Toxic"
83367,CCR2,Hypersensitivity
83368,CCR2,Liver diseases
83369,CCR2,Pneumonia
83370,CCR2,Lobar Pneumonia
83371,CCR2,Pulmonary Fibrosis
83372,CCR2,Status Epilepticus
83373,CCR2,Liver Dysfunction
83374,CCR2,"Dermatitis, Allergic Contact"
83375,CCR2,Petit mal status
83376,CCR2,Grand Mal Status Epilepticus
83377,CCR2,Complex Partial Status Epilepticus
83378,CCR2,"Status Epilepticus, Subclinical"
83379,CCR2,Non-Convulsive Status Epilepticus
83380,CCR2,Simple Partial Status Epilepticus
83381,CCR2,Drug-Induced Liver Disease
83382,CCR2,Experimental Lung Inflammation
83383,CCR2,"Hepatitis, Drug-Induced"
83384,CCR2,Allergic Reaction
83385,CCR2,Drug-Induced Acute Liver Injury
83386,CCR2,Pneumonitis
83387,CCR2,Chemical and Drug Induced Liver Injury
83388,CCR2,Chemically-Induced Liver Toxicity
83389,CCR2,"Alveolitis, Fibrosing"
83390,SFTPA2,Hamman-Rich syndrome
83391,SFTPA2,Idiopathic Pulmonary Fibrosis
83392,SFTPA2,Hamman-Rich Disease
83393,SFTPA2,Usual Interstitial Pneumonia
83394,SFTPA2,Familial Idiopathic Pulmonary Fibrosis
83395,NUTM2B,Endometrial Stromal Sarcoma
83396,NUTM2B,Clear cell sarcoma of kidney
83397,OC90,Vestibular Diseases
83398,DIRC3,Papillary thyroid carcinoma
83399,DIRC3,Hereditary clear cell renal cell carcinoma
83400,CRPPA,Communicating Hydrocephalus
83401,CRPPA,Eye Abnormalities
83402,CRPPA,Hydrocephalus
83403,CRPPA,Congenital Hydrocephalus
83404,CRPPA,Myopathy
83405,CRPPA,Walker-Warburg congenital muscular dystrophy
83406,CRPPA,Hydrocephalus Ex-Vacuo
83407,CRPPA,Fukuyama Type Congenital Muscular Dystrophy
83408,CRPPA,Muscle eye brain disease
83409,CRPPA,Post-Traumatic Hydrocephalus
83410,CRPPA,Obstructive Hydrocephalus
83411,CRPPA,"Muscular Dystrophies, Limb-Girdle"
83412,CRPPA,Congenital muscular dystrophy (disorder)
83413,CRPPA,Cerebral ventriculomegaly
83414,CRPPA,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2K"
83415,CRPPA,alpha-Dystroglycanopathies
83416,CRPPA,Fetal Cerebral Ventriculomegaly
83417,CRPPA,Aqueductal Stenosis
83418,CRPPA,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 7"
83419,CRPPA,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 7"
83420,CRPPA,"Muscular Dystrophy-Dystroglycanopathy (Congenital with Brain and Eye Anomalies) Type A, 1"
83421,MEIS1-AS3,"Prostate cancer, familial"
83422,MEIS1-AS3,"PROSTATE CANCER, HEREDITARY, 1"
83423,PRCD,Disorder of eye
83424,PRCD,Retinitis Pigmentosa
83425,PRCD,RETINITIS PIGMENTOSA 36
83426,RELL1,"Liver Cirrhosis, Experimental"
83427,MIR758,Myocardial Reperfusion Injury
83428,MIR758,"Neoplasms, Experimental"
83429,MIR758,Papillary thyroid carcinoma
83430,MIR758,Nonmedullary Thyroid Carcinoma
83431,MIR758,Familial Nonmedullary Thyroid Cancer
83432,MIR671,"Hepatoma, Morris"
83433,MIR671,"Hepatoma, Novikoff"
83434,MIR671,"Liver Neoplasms, Experimental"
83435,MIR671,Experimental Hepatoma
83436,MIR766,Alzheimer's Disease
83437,MIR766,Presenile dementia
83438,MIR766,"Hepatitis, Toxic"
83439,MIR766,Familial Alzheimer Disease (FAD)
83440,MIR766,"Alzheimer Disease, Late Onset"
83441,MIR766,Acute Confusional Senile Dementia
83442,MIR766,"Alzheimer's Disease, Focal Onset"
83443,MIR766,"Alzheimer Disease, Early Onset"
83444,MIR766,Drug-Induced Liver Disease
83445,MIR766,"Hepatitis, Drug-Induced"
83446,MIR766,Drug-Induced Acute Liver Injury
83447,MIR766,Chemical and Drug Induced Liver Injury
83448,MIR766,Chemically-Induced Liver Toxicity
83449,MIR802,Down Syndrome
83450,MIR802,"Down Syndrome, Partial Trisomy 21"
83451,MIR802,"Trisomy 21, Meiotic Nondisjunction"
83452,MIR802,"Trisomy 21, Mitotic Nondisjunction"
83453,MIR770,"Neoplasms, Experimental"
83454,MIR770,Papillary thyroid carcinoma
83455,MIR770,Nonmedullary Thyroid Carcinoma
83456,MIR770,Familial Nonmedullary Thyroid Cancer
83457,OPA6,OPTIC ATROPHY 6 (disorder)
83458,SNORD3A,Creutzfeldt-Jakob disease
83459,SNORD3A,New Variant Creutzfeldt-Jakob Disease
83460,SNORD3A,"Creutzfeldt-Jakob Disease, Familial"
83461,UQCC3,MITOCHONDRIAL COMPLEX III DEFICIENCY (disorder)
83462,UQCC3,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 9"
83463,PWRN1,Prader-Willi Syndrome
83464,PWRN1,Royer Syndrome
83465,SPG36,"SPASTIC PARAPLEGIA 36, AUTOSOMAL DOMINANT"
83466,SNORD116-1,Prader-Willi Syndrome
83467,SNORD116-1,Royer Syndrome
83468,CDKN2B-AS1,Endometriosis
83469,CDKN2B-AS1,"Glaucoma, Open-Angle"
83470,CDKN2B-AS1,Chronic Lymphocytic Leukemia
83471,CDKN2B-AS1,Mouth Neoplasms
83472,CDKN2B-AS1,Malignant neoplasm of mouth
83473,CDKN2B-AS1,Endometrioma
83474,CDKN2B-AS1,Secondary Open Angle Glaucoma
83475,CDKN2B-AS1,Chromosome Breaks
83476,CDKN2B-AS1,"Glaucoma, Primary Open Angle"
83477,CDKN2B-AS1,Chromosome Breakage
83478,CDKN2B-AS1,Nasopharyngeal carcinoma
83479,SPG37,"SPASTIC PARAPLEGIA 37, AUTOSOMAL DOMINANT (disorder)"
83480,SPG38,"SPASTIC PARAPLEGIA 38, AUTOSOMAL DOMINANT (disorder)"
83481,HOTAIR,Uterine Cervical Neoplasm
83482,HOTAIR,Malignant neoplasm of stomach
83483,HOTAIR,"Neoplasm Recurrence, Local"
83484,HOTAIR,Stomach Neoplasms
83485,HOTAIR,Hereditary Diffuse Gastric Cancer
83486,HOTAIR,Liver carcinoma
83487,HOTAIR,cervical cancer
83488,MIR300,"Hepatoma, Morris"
83489,MIR300,"Hepatoma, Novikoff"
83490,MIR300,"Liver Neoplasms, Experimental"
83491,MIR300,"Neoplasms, Experimental"
83492,MIR300,Experimental Hepatoma
83493,MIR300,Papillary thyroid carcinoma
83494,MIR300,Nonmedullary Thyroid Carcinoma
83495,MIR300,Familial Nonmedullary Thyroid Cancer
83496,MIR875,Cholestasis
83497,MIR744,"Diabetes Mellitus, Non-Insulin-Dependent"
83498,MIR744,"Hepatitis, Toxic"
83499,MIR744,Myocardial Reperfusion Injury
83500,MIR744,Drug-Induced Liver Disease
83501,MIR744,"Hepatitis, Drug-Induced"
83502,MIR744,Drug-Induced Acute Liver Injury
83503,MIR744,Chemical and Drug Induced Liver Injury
83504,MIR744,Chemically-Induced Liver Toxicity
83505,MIR877,Neoplastic Cell Transformation
83506,MIR877,"Hepatitis, Toxic"
83507,MIR877,Drug-Induced Liver Disease
83508,MIR877,"Hepatitis, Drug-Induced"
